"m.z"	"p.value"	"t.score"	"r.t"
107.01162	0.109234841	-1.51	4.773
513.99487	0.109268787	2.6	1.609
232.90163	0.10945503	1.11	17.286
175.95197	0.110881858	2.87	16.187
336.88655	0.112402319	0.91	1.664
223.01793	0.113251377	1.37	16.197
90.02641	0.113400394	1.25	6.265
128.98434	0.114302916	-0.95	7.678
447.28146	0.114345566	-2.74	8.006
179.01856	0.114505551	-1.03	7.099
370.99896	0.114914678	1.09	1.595
126.01019	0.114987478	1.53	16.166
128.97121	0.116032511	-1.67	11.297
204.05526	0.117315727	1.34	10.493
366.10823	0.118080795	-0.94	14.792
154.991	0.119186261	-2.36	4.682
190.89498	0.120244371	-1.86	7.637
212.92496	0.121980623	-1.68	8.058
196.92476	0.122113385	1.24	6.164
497.65871	0.122551357	0.61	7.9
152.99998	0.12298243	1.55	16.16
183.1015	0.12386458	-1.75	12.303
414.84514	0.124191261	1.52	4.748
108.01016	0.124318581	-1.26	14.828
548.81473	0.125000883	-0.4	15.298
694.66658	0.125166399	1.23	10.113
221.02515	0.125450252	-2	11.289
134.00815	0.126423133	1.02	10.545
336.88656	0.126899213	-1.13	7.204
132.93558	0.126924731	-1.51	7.027
134.05986	0.12877721	-1.5	7.703
198.86717	0.128955705	1.55	1.631
134.00726	0.128995731	1.27	10.505
122.02345	0.12910148	-1.98	11.29
127.94213	0.129138837	-0.95	12.284
447.28144	0.129389691	-3.42	7.465
166.97844	0.130138981	0.94	4.905
608.83575	0.130295435	-2.21	11.282
98.97167	0.13054227	-1.09	1.788
134.98938	0.131103859	0.6	1.625
91.96549	0.132730586	0.57	1.649
146.95753	0.132971247	1.25	1.65
89.02225	0.134856735	-1.13	4.777
119.02224	0.135154587	-8.1	14.899
173.11708	0.135406344	1.03	3.277
130.00133	0.135581807	1.76	1.569
132.01077	0.135590361	-1.21	4.877
150.94579	0.138536252	1.02	3.671
269.08709	0.13904568	1.31	16.16
498.32428	0.140994997	0.91	1.587
490.48891	0.141173462	1.1	6.084
306.923	0.142032098	-1.22	6.902
142.97099	0.142869643	-0.87	7.617
154.96175	0.143803042	1.09	3.243
694.00108	0.145923592	1.15	12.861
152.93796	0.146553035	-0.47	15.071
448.28719	0.146924325	1.43	4.083
586.85389	0.14728186	-1.19	14.856
270.87978	0.147730683	2.57	8.126
