"mz","rt","t.score","p.value","mode"
310.20383,621.84,-2.6135,0.0204,"positive"
310.23483,1177.14,2.9035,0.009,"positive"
310.23676,1181.1,3.5524,0.0015,"positive"
310.30942,1373.46,-0.3226,0.7499,"positive"
310.31366,1377.72,0.0593,0.9532,"positive"
310.80984,1621.86,1.6157,0.1182,"positive"
310.81122,1626.9,-1.9167,0.0759,"positive"
310.91147,76.74,-0.7709,0.448,"positive"
310.91241,72.96,0.0792,0.9374,"positive"
312.15973,988.08,1.8785,0.0764,"positive"
312.16003,991.2,1.8845,0.0756,"positive"
313.03455,74.58,-1.3701,0.1858,"positive"
313.03653,342.06,-1.7312,0.1054,"positive"
313.2139,1234.26,1.2662,0.2182,"positive"
313.21524,1237.2,1.1302,0.2692,"positive"
313.27118,1342.74,-1.444,0.1647,"positive"
313.27142,1310.46,3.0092,0.0063,"positive"
313.27243,1306.8,2.6185,0.0134,"positive"
313.27377,1299.6,1.2087,0.239,"positive"
313.27502,1363.44,0.8042,0.4274,"positive"
313.27533,1303.92,1.5427,0.1328,"positive"
313.27603,1285.5,2.1266,0.0417,"positive"
313.27612,1383.42,0.7582,0.4553,"positive"
313.27792,1314.48,1.1794,0.2493,"positive"
313.27878,1349.88,-1.5206,0.1478,"positive"
313.28143,1339.32,-0.1998,0.8432,"positive"
315.08395,759.78,1.831,0.0764,"positive"
315.08569,762.96,2.8923,0.0087,"positive"
315.14822,368.16,1.0286,0.3173,"positive"
315.15662,871.26,2.2935,0.0334,"positive"
315.15671,866.76,1.6317,0.1127,"positive"
315.15784,863.82,-0.1752,0.8621,"positive"
315.19382,1011.24,2.3205,0.0269,"positive"
315.1973,1007.94,0.5188,0.6077,"positive"
315.9299,336.54,0.7454,0.4622,"positive"
315.93152,339.96,-0.0967,0.9238,"positive"
316.21268,432.42,0.281,0.781,"positive"
316.21298,430.14,-0.8081,0.4285,"positive"
316.24734,770.94,2.5305,0.0193,"positive"
316.24802,765.24,-2.2613,0.0401,"positive"
317.09241,966.72,1.0042,0.3286,"positive"
317.1022,20.76,1.1593,0.2551,"positive"
317.10498,17.58,0.7039,0.4869,"positive"
317.10754,1186.8,-0.8865,0.3871,"positive"
317.10938,1203.36,2.2761,0.0309,"positive"
317.10947,1324.14,0.5868,0.5615,"positive"
317.11011,1197.84,-0.2068,0.8381,"positive"
317.11035,1252.38,-0.4781,0.6366,"positive"
317.11084,1353.42,2.095,0.0442,"positive"
317.11093,1188.9,-0.1131,0.9109,"positive"
317.11151,30.42,1.4912,0.1459,"positive"
317.11197,386.46,1.8988,0.0685,"positive"
317.11234,1342.74,0.9627,0.3432,"positive"
317.11279,62.16,-2.8183,0.0104,"positive"
317.11304,66.3,0.5511,0.5855,"positive"
317.11334,380.22,0.6954,0.4951,"positive"
317.11377,1635.3,0.3842,0.7043,"positive"
317.11392,369.9,1.5661,0.1272,"positive"
317.11395,1618.14,3.1653,0.0042,"positive"
317.11444,1639.44,1.4807,0.1491,"positive"
317.11456,1363.44,1.8994,0.0669,"positive"
317.11459,1294.44,3.3745,0.0026,"positive"
317.11462,928.08,2.4871,0.0185,"positive"
317.11465,1259.28,2.1404,0.0401,"positive"
317.11478,1039.86,2.701,0.0118,"positive"
317.11481,1002.6,1.71,0.0971,"positive"
317.11493,1370.7,3.2433,0.003,"positive"
317.11508,1006.02,0.1631,0.8717,"positive"
317.1153,429.9,1.8103,0.0796,"positive"
317.11542,1177.14,3.7079,0.001,"positive"
317.1156,1360.02,2.0259,0.055,"positive"
317.11603,1319.28,-0.2147,0.8316,"positive"
317.11618,1152.06,2.268,0.0302,"positive"
317.11664,1661.52,2.9696,0.0059,"positive"
317.11673,495.48,1.8598,0.0722,"positive"
317.11685,1181.82,1.0782,0.2892,"positive"
317.11728,1047.42,0.5324,0.5997,"positive"
317.11755,1194.42,-0.3779,0.7095,"positive"
317.11945,594.84,0.5561,0.5821,"positive"
317.11984,1346.88,0.8371,0.409,"positive"
317.13245,598.26,0.2319,0.8182,"positive"
317.24683,1234.44,-1.2353,0.2335,"positive"
317.24982,1237.5,-0.7031,0.4903,"positive"
317.26727,1301.88,1.2411,0.2279,"positive"
317.26746,1356.9,1.6359,0.1166,"positive"
317.26947,1353.9,1.4906,0.1496,"positive"
317.26968,1367.58,2.2652,0.0338,"positive"
317.27029,1369.8,1.7989,0.0839,"positive"
317.27036,1361.4,1.4878,0.1467,"positive"
317.27271,1350.66,-0.9496,0.3567,"positive"
317.92502,336.6,-0.0369,0.9708,"positive"
317.9252,339.78,0.3735,0.7118,"positive"
318.19284,428.16,-1.7549,0.101,"positive"
318.29904,838.56,8.2673,0,"positive"
318.29956,835.44,4.4465,3e-04,"positive"
318.30063,831,-2.9809,0.0099,"positive"
318.30524,843.9,6.2581,0,"positive"
318.311,828.36,-2.4216,0.0296,"positive"
319.1694,988.08,2.4266,0.0242,"positive"
319.17584,981.48,1.7452,0.0913,"positive"
319.1759,984.18,2.1444,0.0401,"positive"
319.28619,1233.42,-0.5859,0.5647,"positive"
319.28677,1236.9,1.2254,0.2294,"positive"
320.27411,1196.46,1.3419,0.1903,"positive"
320.28561,1193.94,1.0333,0.3102,"positive"
320.86572,1634.46,4.2596,3e-04,"positive"
320.86676,1632.6,4.7293,1e-04,"positive"
321.11057,1025.34,1.3097,0.1998,"positive"
321.11099,1031.34,2.7692,0.0116,"positive"
321.11154,1028.82,1.4845,0.1481,"positive"
321.12939,401.4,0.8507,0.4038,"positive"
321.13123,394.02,-1.0192,0.3236,"positive"
321.13358,397.86,0.809,0.4267,"positive"
323.09055,506.76,2.2784,0.0297,"positive"
324.103,911.7,2.3464,0.03,"positive"
325.17484,1236,-5e-04,0.9996,"positive"
325.17853,1233.48,-0.7458,0.464,"positive"
325.20331,1051.8,2.8523,0.0076,"positive"
325.20419,1049.1,0.6034,0.5508,"positive"
326.15164,1004.1,1.5669,0.127,"positive"
326.15228,1008.12,4.0115,7e-04,"positive"
326.81686,1647,6.8193,0,"positive"
326.81915,1644.3,11.9944,0,"positive"
327.01471,79.32,0.4937,0.6251,"positive"
327.04755,75.18,-2.3274,0.0306,"positive"
327.04999,72.96,-2.4108,0.0256,"positive"
328.10223,329.46,-1.4597,0.1595,"positive"
328.10489,333.3,-1.2486,0.2322,"positive"
328.11322,615.54,-1.2193,0.2429,"positive"
328.11401,618.3,-1.4877,0.159,"positive"
329.1557,1230.96,2.5489,0.016,"positive"
329.16119,1219.5,-0.0256,0.9798,"positive"
329.16141,1225.2,3.2537,0.0034,"positive"
329.16516,1222.02,1.2141,0.2355,"positive"
329.20618,1103.22,3.5576,0.0012,"positive"
329.20923,1099.14,1.045,0.3047,"positive"
330.13052,644.34,-1.5111,0.153,"positive"
330.2973,1340.76,-0.635,0.5301,"positive"
330.33252,1050.84,6.1425,0,"positive"
330.336,1041.9,-3.3609,0.0047,"positive"
330.33701,1053.66,6.1499,0,"positive"
330.3381,1044.96,-3.6037,0.0029,"positive"
331.14297,374.7,1.033,0.3153,"positive"
331.14905,1281.06,-1.2751,0.2174,"positive"
331.27994,1342.74,-1.8663,0.0749,"positive"
331.28128,1285.14,1.1725,0.2546,"positive"
331.28244,1348.26,-3.1637,0.0064,"positive"
331.28259,1306.8,2.9115,0.0066,"positive"
331.28384,1311.36,2.8889,0.0087,"positive"
331.28485,1299.6,-0.4401,0.6658,"positive"
331.28497,1289.64,4.4002,1e-04,"positive"
331.28574,1363.8,0.5042,0.6177,"positive"
