"m.z"	"p.value"	"t.score"	"r.t"
124.0081	0.174005692	-1.68	11.297
174.02184	0.175000999	1.86	2.828
152.99458	0.17705067	1.41	6.164
171.02869	0.177277608	-1.27	15.271
95.01264	0.178107966	-1.07	8.058
244.95883	0.183151028	2.04	1.628
352.98801	0.183686903	-0.66	14.822
132.96601	0.183911666	1.14	16.169
510.85866	0.184680401	-1.02	1.616
176.91574	0.184908638	0.99	1.626
111.00289	0.188859245	1.14	19.032
225.0577	0.18924205	-0.51	15.21
107.01166	0.189285159	-1.91	10.761
169.49157	0.190357204	1.14	1.595
131.01516	0.190521245	1.43	17.921
318.88393	0.190912907	-1.25	14.804
232.90143	0.191390089	1.73	10.306
159.52675	0.192201495	2.35	1.612
168.94274	0.193101471	0.93	7.6
154.91747	0.195124842	0.69	1.614
169.04802	0.195801188	1.83	4.083
156.02898	0.197668574	1.52	1.615
140.98482	0.199142609	1.52	19.028
187.98401	0.20003783	-0.67	15.247
132.93559	0.200259914	-1.02	8.129
107.01162	0.200855328	-1.98	10.043
513.99487	0.203034344	1.52	1.554
232.90163	0.206569145	-1.33	10.089
175.95197	0.206876708	-1.42	0.23
336.88655	0.207415354	-3.35	7.955
223.01793	0.208713832	-0.72	14.83
90.02641	0.209133936	1.89	10.432
128.98434	0.209927863	2.97	29.62
447.28146	0.210308734	-0.93	7.099
179.01856	0.211143032	-4.9	7.953
370.99896	0.212569331	-1.19	8.208
126.01019	0.215036013	1.74	10.522
128.97121	0.217415154	-0.63	12.279
204.05526	0.218846541	-0.67	14.827
366.10823	0.219351726	1.91	10.538
154.991	0.221500616	-0.87	7.611
190.89498	0.221924032	-0.59	7.617
212.92496	0.223036972	2.11	2.798
196.92476	0.223268291	2.44	1.628
497.65871	0.223290755	1.13	6.087
152.99998	0.223306303	2.27	10.493
183.1015	0.228583258	1.21	1.655
414.84514	0.232314874	1.36	4.674
108.01016	0.235706858	1.48	1.629
548.81473	0.237719969	2.56	1.631
694.66658	0.238175132	2.17	10.505
221.02515	0.239502102	-0.6	14.813
134.00815	0.241000466	0.69	1.598
336.88656	0.241722298	-1.48	11.289
132.93558	0.242320731	1.15	6.265
134.05986	0.242946611	0.79	1.628
198.86717	0.243185975	-4.86	9.836
134.00726	0.243343534	-1.47	11.29
122.02345	0.243886164	-3.35	6.958
127.94213	0.24401061	-1.69	14.832
447.28144	0.244650786	1.01	3.366
166.97844	0.245915601	1.13	1.786
608.83575	0.24604173	1.15	16.179
98.97167	0.247998093	0.93	16.415
134.98938	0.248708255	-0.96	10.563
91.96549	0.248847574	1.72	1.629
146.95753	0.249180783	-1	10.085
89.02225	0.250224991	-0.67	15.253
119.02224	0.250640998	1.1	19.016
173.11708	0.250975377	-1.85	7.145
130.00133	0.251774528	-0.74	7.816
132.01077	0.252346445	2.13	7.568
150.94579	0.252787832	1.44	1.569
269.08709	0.253321386	3.02	4.078
498.32428	0.255389716	1.48	1.579
490.48891	0.255603709	-0.56	14.828
306.923	0.25674835	-2.1	7.026
142.97099	0.257269666	0.82	16.156
154.96175	0.258766807	0.72	1.561
694.00108	0.259753951	0.73	7.983
152.93796	0.26077052	-0.7	7.093
448.28719	0.260806645	1.85	6.507
586.85389	0.262172271	3.19	3.923
270.87978	0.263106011	1.53	1.557
358.12666	0.263248272	0.63	11.851
132.94505	0.263340499	-2.8	6.585
284.01582	0.263394712	1.21	7.922
148.92311	0.264408743	0.68	4.119
233.9233	0.265679643	0.81	1.605
129.01567	0.266475487	-0.49	15.223
153.01447	0.267038349	-1.47	7.051
214.89088	0.267078328	1.21	6.519
241.09214	0.267886136	-1.3	12.34
224.91985	0.268862829	-0.81	7.83
211.98489	0.270385046	0.8	1.571
132.94504	0.273378755	1	16.16
111.00516	0.277376539	1.11	3.13
449.00713	0.277808849	-1.44	8.06
406.1209	0.279254002	-0.92	10.085
539.13848	0.279960455	-0.77	7.071
158.01306	0.280460905	1.02	1.642
368.10793	0.280969827	0.76	1.615
238.90947	0.281646818	0.68	1.543
308.90015	0.282084765	0.95	3.473
292.91324	0.282447176	0.87	3.681
98.95596	0.282593806	1.11	1.84
437.48547	0.283174539	2.76	2.832
259.04033	0.283974254	1.18	6.066
271.06636	0.286583762	0.97	3.752
132.04757	0.288209512	0.98	1.62
386.11465	0.28842213	-0.27	15.241
448.28713	0.288557486	0.5	1.591
294.99428	0.291511542	-3.57	29.783
428.31916	0.293643466	-1.23	6.01
134.00817	0.29480869	-1.65	10.071
98.97221	0.299321973	1.02	13.35
294.88658	0.300352864	-0.31	7.68
122.96959	0.30179293	-5.67	7.875
232.89202	0.305277896	1.06	1.781
444.03667	0.305678209	0.85	3.734
142.0497	0.306433963	1.66	11.59
180.015	0.307367714	-2.57	29.652
243.04538	0.307548222	-1.18	7.088
233.99551	0.308119473	-1.21	12.303
198.93345	0.311066897	-2.52	11.991
337.09401	0.311679648	1.32	10.53
695.99824	0.311958013	1.04	1.568
624.80969	0.312010966	-0.38	15.284
176.90903	0.312797896	-2.87	15.712
381.04944	0.31439238	0.94	5.181
341.12523	0.314452274	0.71	16.156
489.49013	0.315205029	-1.11	7.403
228.9641	0.315324739	1.61	1.611
476.09261	0.319907683	-1.31	8.058
129.01538	0.322040596	1.24	11.311
106.03983	0.32475542	3.22	16.187
152.88245	0.325693438	1.22	1.616
116.00264	0.326893034	1.29	6.514
290.86983	0.328742123	1.01	6.084
598.21163	0.331211245	1.06	1.65
376.85512	0.336961751	0.75	1.669
335.06675	0.342699322	1.53	16.397
210.84129	0.343955525	0.45	1.789
524.07323	0.3464413	0.86	1.67
92.9277	0.348240505	1.46	8.31
208.84424	0.348662906	1.01	9.702
234.85833	0.349317393	-1.26	10.084
597.01891	0.349539026	-0.62	16.436
175.09636	0.351320558	-1.69	10.067
111.00505	0.351585772	0.3	9.892
559.98122	0.351731135	0.96	1.551
646.04779	0.352418784	1.64	7.324
493.98595	0.352762479	0.93	11.587
188.96287	0.352885621	0.25	15.021
499.65563	0.355051445	0.93	1.664
334.96962	0.357765144	0.37	1.745
369.12653	0.358694134	-1.43	8.126
443.14049	0.358845781	0.83	1.674
366.05647	0.360331515	0.9	3.685
137.93956	0.360604312	0.65	16.166
199.0168	0.363322264	-0.74	12.306
246.93527	0.364882844	1.03	9.292
184.93681	0.365454546	0.9	1.586
202.93128	0.366152895	1.06	12.422
106.03985	0.366215054	0.89	7.998
114.01843	0.366792804	0.96	3.243
200.06649	0.367668832	1.16	1.617
132.01244	0.371635559	0.93	3.277
206.07074	0.372302046	1.89	12.018
234.8936	0.373403693	-1.23	4.777
231.04754	0.374290557	-0.88	7.971
232.05008	0.375766937	2.22	7.328
596.88854	0.377915733	0.81	10.336
266.80645	0.379139766	0.51	1.618
309.10082	0.379609335	-0.33	15.244
294.85732	0.379990633	1.07	9.695
113.0344	0.380768871	0.82	7.431
546.17226	0.382176659	1.05	1.603
142.96147	0.385351886	0.95	3.345
92.92772	0.387015638	0.89	11.037
384.99935	0.390038832	-0.35	15.185
166.96237	0.39673015	0.77	4.477
96.96967	0.398219034	-0.43	9.606
152.88245	0.398822326	-0.36	0.241
125.03439	0.40059146	0.96	1.651
212.8924	0.401887067	0.87	1.587
623.99551	0.403178958	-1.16	8.067
210.84125	0.403884327	0.91	1.688
92.02417	0.405159212	0.85	1.58
262.0305	0.408168603	0.77	1.671
121.96258	0.411674633	0.73	7.873
596.49584	0.413196207	1.14	4.748
230.84737	0.413907706	1	5.57
124.01533	0.415344645	1.25	11.789
284.77422	0.415838264	0.95	16.402
549.18522	0.418742111	0.57	4.905
96.96989	0.419606594	0.85	3.279
141.97463	0.420981922	0.43	1.629
133.01301	0.421113237	0.8	4.787
169.03157	0.421981571	1.97	10.523
442.11485	0.425421942	-0.4	4.761
244.06737	0.426081856	0.84	3.896
330.91818	0.426408409	1.06	16.726
186.96375	0.428072724	0.76	3.755
283.10286	0.430822858	0.83	3.702
201.94822	0.430874477	0.6	7.596
235.91899	0.431551564	0.9	1.677
150.01597	0.432345893	-3.35	7.139
234.85828	0.432348044	0.9	1.675
314.90461	0.435047787	-1.11	10.56
219.02681	0.435476788	1.04	3.578
133.00804	0.438339508	0.86	12.861
245.06405	0.439264528	1.32	6.141
326.0251	0.439485359	0.41	1.788
205.05144	0.439603689	0.39	6.525
141.01568	0.440225098	-0.42	15.298
130.95602	0.441189698	0.62	7.266
337.97826	0.443058079	-1.06	7.091
154.92697	0.446496083	1.02	3.513
269.01318	0.447575944	0.53	1.631
154.92697	0.448676875	0.53	1.591
196.00965	0.451774524	1.19	3.094
146.98179	0.452171722	-0.99	9.237
243.95578	0.452737148	0.55	7.569
205.07063	0.453901754	1.24	1.653
205.07064	0.455045615	-0.44	7.163
315.99622	0.456092524	1.11	8.245
304.92296	0.458739538	0.88	1.574
301.02004	0.459613516	1.34	1.609
286.01731	0.461358181	1.31	14.973
154.92699	0.462440241	0.42	7.326
255.00329	0.463801896	-0.94	12.51
199.13289	0.464796653	1.11	13.973
345.14665	0.465185646	0.29	1.68
316.98027	0.466823399	0.79	3.495
282.96749	0.470313211	0.83	1.649
298.96238	0.470536736	0.94	9.69
209.15361	0.473548553	0.92	7.349
153.0157	0.476621853	1.57	7.524
259.04072	0.480574764	-0.83	5.122
282.95227	0.481149206	2.03	7.361
188.96141	0.48154549	2.06	6.05
352.86045	0.482795263	1.54	7.328
277.03227	0.483556727	1.83	9.432
360.92988	0.486719746	-1.35	4.877
462.98876	0.493597239	1.47	3.917
144.96047	0.495579562	0.7	7.957
314.89528	0.496509344	0.85	8.236
292.89072	0.496645411	0.46	1.653
228.07272	0.498315407	-0.63	7.187
314.89528	0.502114846	-0.58	10.069
190.97176	0.503898501	0.43	4.706
226.05709	0.505746059	-0.75	12.229
193.01238	0.50595883	-2.03	8.087
235.99064	0.50748033	0.42	16.163
181.01138	0.511717108	-0.44	8.25
198.99779	0.512413006	0.81	1.664
172.02419	0.513496065	-0.49	7.187
152.00101	0.515148081	-0.32	15.234
285.03337	0.516279354	0.93	1.58
522.05551	0.516578556	-1.28	10.119
178.94848	0.516922157	1.01	10.473
306.04438	0.51749865	0.9	4.83
372.15578	0.520943742	-0.84	7.276
319.98726	0.523181918	0.66	4.705
317.92149	0.525104148	0.98	3.69
340.92082	0.528381678	0.9	13.942
189.00187	0.528707105	0.63	3.999
188.97373	0.529047847	0.85	3.671
428.92451	0.529190581	0.5	7.917
412.87252	0.529235598	-1.17	10.066
462.18372	0.530289555	-1.09	7.098
450.79967	0.532357144	0.3	7.925
409.14496	0.53275231	-0.59	1.514
595.10969	0.533279081	0.88	1.633
434.82555	0.535275887	-1.01	8.178
216.08673	0.535730639	1.2	12.931
317.11119	0.537543008	1.2	5.098
390.89965	0.537682056	0.86	1.573
337.06191	0.5378697	0.47	1.695
390.89965	0.538984592	0.49	1.638
151.01869	0.542000244	0.37	7.903
267.02507	0.542079762	0.81	4.725
221.02928	0.543786831	0.63	1.617
426.98756	0.543964842	0.59	16.434
412.8816	0.545410718	0.84	8.154
223.04493	0.545602641	1.18	1.631
179.01758	0.548989751	0.77	1.625
371.07005	0.550528318	0.47	14.97
271.00321	0.550780047	-0.59	12.01
176.95872	0.551993011	-4.05	8.057
154.01671	0.552328056	-0.4	7.098
172.02157	0.553244877	0.6	1.669
176.95872	0.554611324	-1.86	10.076
204.99278	0.558616787	-0.73	12.284
178.96217	0.55983268	1.01	10.547
259.01785	0.560043594	0.56	1.636
220.95531	0.563270237	0.63	7.9
220.02881	0.565075223	-1.17	7.118
222.93756	0.565238553	0.84	4.543
174.97678	0.566088864	-0.43	12.291
176.95873	0.566199573	1.83	8.226
383.11667	0.570089287	-0.93	7.107
236.02504	0.570220531	-0.73	14.82
204.99279	0.576786454	1.2	8.257
440.92471	0.576947437	1.9	1.632
433.02055	0.580065281	0.59	6.926
356.9891	0.583237101	-0.4	1.77
548.10351	0.586032097	1.06	1.639
521.033	0.586169609	1	10.319
241.08365	0.587327877	0.33	1.64
483.98012	0.59759836	-0.7	12.308
233.04653	0.604429633	0.24	22.006
314.87264	0.604625397	0.84	8.251
252.96271	0.605731545	-0.88	10.113
354.06223	0.606038817	-0.48	7.745
244.99629	0.606256316	-1.1	7.519
342.91026	0.609346366	-0.21	15.283
216.90446	0.610181424	0.68	3.65
545.97135	0.611912992	0.15	1.698
218.00943	0.617928561	0.82	7.92
150.96123	0.618187119	-0.74	14.821
472.78145	0.620274571	0.56	1.664
222.98646	0.62085086	-2.71	10.404
245.0518	0.621834404	0.27	8.042
194.9916	0.623358013	1.61	1.625
448.00356	0.623871481	0.82	12.042
166.01674	0.62413256	1.19	7.317
245.07696	0.624261645	-0.37	15.233
302.98016	0.624757534	0.76	17.413
266.94554	0.62476849	-0.38	8.166
245.0271	0.626414389	0.9	19.093
222.09741	0.626899916	0.34	7.548
222.93765	0.629129331	0.9	10.273
376.13723	0.632518936	0.32	7.879
266.02864	0.632668218	-4.06	14.899
194.93876	0.633145494	0.97	4.736
387.04405	0.635260002	1.18	4.692
252.94049	0.637118126	-2.06	10.857
537.99912	0.637158406	-0.57	14.845
515.99185	0.641711859	0.71	4.272
423.071	0.641786093	-0.16	15.236
